Year,Rank_Asia,School_Name,Overall,Academic Reputation,Employer Reputation ,Faculty Student,Papers per Faculty,Citations per Faculty ,International  Faculty,International Students,Faculty Staff with PhD,International Research Network,Inbound Exchange,Outbound Exchange,total students,international students,Total faculty staff,International Faculty staff,Domestic staff
2022,154,University of Calcutta,32.1,34.2,18.6,7,63.3,8.1,55.1,3.1,89.9,62.1,3.6,,15156,103,773,88,685
2022,156,Beijing Jiaotong University,31.8,25.6,13.4,25.7,54.2,17.6,17.7,43.1,54.1,63.1,9.1,98.6,27932,2504,2111,86,2025
2022,156,National Chung Cheng University,31.8,29.4,30.3,34.9,17.8,12.9,13.2,34.3,83.6,6,89.9,76.2,8483,650,710,22,688
2022,156,University of Hyderabad,31.8,27.2,10.5,37.7,68.3,34.4,5.1,7.6,99.9,44.3,,,5327,103,405,5,400
2022,159,Chongqing University,31.6,18,8.3,19.4,69.5,61.1,12.1,8.6,66.4,76.5,3.2,11.3,40423,880,2791,81,2710
2022,160,De La Salle University,31.5,40.5,57.7,14.7,15.1,2.6,5.2,11.8,1,33.8,7.4,6.9,12070,356,788,10,778
2022,160,Institut Teknologi Sepuluh Nopember (ITS Surabaya),31.5,27.3,47.9,31.1,16,1.1,97.3,17.5,1,9.5,88.6,100,17028,719,1331,305,1026
2022,162,Jadavpur University,31.3,31,13.1,18.7,84.5,14.4,3,40.4,85.8,1.7,,,10533,67,718,0,718
2022,163,Chungnam National University,31.2,25,23.8,55.6,27.9,14.6,25.9,32.3,57.5,45.1,6.8,16.2,19789,1837,1977,110,1867
2022,164,Tokyo Metropolitan University,31.1,28.2,14.9,42.9,38.2,39.7,19.4,27.4,6,62.3,21.3,4.4,9124,562,822,36,786
2022,165,China University of Geosciences,30.8,11.7,2.9,77.9,54.9,53.1,3.5,13,1.1,81.7,10.3,33.3,26798,867,3191,25,3166
2022,166,Lanzhou University,30.6,18.9,4.1,42.4,35.3,89.5,7.2,4.9,2.1,74.8,3.1,5.4,32812,391,2944,52,2892
2022,167,Universiti Malaysia Terengganu (UMT),30.4,22.4,12.6,24,23.3,4,44.3,23.1,79.7,67.7,73,71.9,8644,476,652,56,596
2022,167,Universiti Tunku Abdul Rahman (UTAR),30.4,25.8,58.1,15,9.5,19.6,36.8,7.6,1.1,35.4,30.2,23.5,17672,342,1124,83,1041
2022,169,Yokohama National University,30.3,26.6,36.7,28.9,31.9,10.4,29,41.4,4,49.1,35.7,25.5,9680,839,760,46,714
2022,170,Central South University,30.2,18.9,5.3,7.4,93.2,65.2,25.4,12.2,38.2,67.4,3.1,31.8,54940,1682,2783,152,2631
2022,171,Prince of Songkla University,30,40,31.9,24.5,7.3,10.3,13.4,7.9,16.9,50.8,5.1,5.6,34330,685,2553,81,2472
2022,172,China Agricultural University,29.4,20.4,4.5,32.2,70.5,46.7,11.2,4.9,62.2,61.1,1.3,10.4,20514,245,1669,45,1624
2022,172,Sophia University,29.4,26.5,41.3,28.2,5.9,9.2,84.9,65.1,1,11,78.2,48.4,,,,,
2022,174,Osaka City University,29.2,23.2,17.8,87.8,19.5,21.3,17.6,16.6,9.3,28.3,58.8,3.5,8338,335,1094,44,1050
2022,175,Yeungnam University,29.1,13.5,10.3,20,29,80,68.9,36.6,47.9,33,24.1,62.5,21204,1661,1478,189,1289
2022,176,Nanjing University of Science and Technology,29,11.3,5.9,29.9,64.7,56.5,19.4,13.7,85.8,42.9,24,62,27601,935,2191,96,2095
2022,177,University of Santo Tomas,28.9,27.4,44.7,25.2,2.1,2.1,78.4,29.2,1,3.7,91,100,26511,1723,1990,295,1695
2022,178,Indian Institute of Technology Indore,28.7,11.9,10.1,61.5,98.9,43.2,11.8,1.4,100,10.5,6.6,3.2,1348,2,141,4,137
2022,179,Viet Nam National University Ho Chi Minh City (VNU-HCM),20.7,15.3,12.2,1.6,2.1,1.4,2.1,1.4,,,,,79301,523,4552,169,4383
2022,180,Savitribai Phule Pune University,8.5,5.8,57.8,22,1,3.2,1,3.2,,,,,4427,135,686,1,685
2022,181,Chang Gung University,28.1,13,11.6,86,63.8,38.8,11.7,24.1,27,28.1,1.6,3,6878,381,889,25,864
2022,183,"Institute of Chemical Technology, Mumbai",28,8.6,20.3,11.7,100,73.3,86.5,24.8,,,,,2090,123,,,
2022,183,University of Engineering & Technology (UET) Lahore,28,17.8,63,26.5,9.8,16.5,1.2,21.8,1,35.7,1.2,1.5,13377,681,1020,1,1019
2022,183,Wuhan University of Technology,28,15.7,6.3,19.1,30.8,83.3,11.4,11.4,3.8,81,2.7,10.7,51497,1477,3539,97,3442
2022,186,Jamia Millia Islamia,27.9,16.4,9.4,66.2,20.7,44.2,10.6,12,63,35.8,15.7,14.1,8623,259,935,24,911
2022,187,Kumamoto University,27.8,19.1,6.9,86.6,25.1,17.8,17.2,14.9,15,48.6,60.5,3.1,9785,359,1267,50,1217
2022,188,Jiangsu University,27.4,7.6,4.1,87.1,20.5,65.8,19.6,32.6,1.3,53.4,1.5,10.8,33792,2405,4397,194,4203
2022,189,Multimedia University (MMU),27.3,18.9,38.9,21.8,16.4,14.6,42.6,54.8,1.4,17.7,100,65,8879,943,636,53,583
2022,189,Okayama University,27.3,20.3,10,86.6,25.3,18.2,20,27.6,1,52.7,,,,813,1697,69,1628
2022,189,Pakistan Institute of Engineering and Applied Sciences (PIEAS),27.3,14.7,18.2,98.2,53.5,34.5,14,14.5,6.8,,,,1129,180,,,
2022,192,Universitas Padjadjaran,26.7,30.3,40,44.6,4.2,1.1,51.6,4.1,1,16.9,15.5,12.2,32529,314,3116,368,2748
2022,193,The Catholic University of Korea,26.6,13.3,6.6,99.8,22.7,33.2,5.7,16.8,84.7,8,6.1,6.2,9091,370,1668,23,1645
2022,194,"Birla Institute of Technology and Science, Pilani",26.5,18.2,31.4,9.3,39.6,23.5,2.5,8,91.2,32,1.2,18.9,14216,289,776,4,772
2022,194,"Manipal Academy of Higher Education, Manipal, Karnataka, India",26.5,20.1,21.3,69.2,11.8,3.3,3.1,22.2,1.3,58.1,4.5,32.2,23718,1225,2632,18,2614
2022,196,King Mongkut's University of Technology Thonburi,26.4,30.6,31.6,20,15.1,20.8,28.4,9,21.1,27.3,8,6,14152,322,986,59,927
2022,197,University of Peshawar,26.1,15.2,17.9,55.7,23,45.4,7.9,56,,,,,6063,121,606,0,606
2022,198,Vellore Institute of Technology (VIT),25.8,20.8,21,11.2,48.3,8.4,39,9.3,17.4,77.9,1.7,5.3,35783,848,2072,198,1874
2022,199,Beijing University of Chemical Technology,25.7,14.6,3.9,42.6,59.5,99.2,1,23.9,,,,,336,1608,,,
2022,199,Jiangnan University,25.7,9.8,14.7,24.1,51.5,49.6,5,5.3,2.1,81.5,3,16,26834,353,1984,24,1960
